prioridad,model,tiene_tos,tiene_hist,cual_historical,tiene_ssp245,tiene_ssp370,tiene_ssp585,experimentos_encontrados
3,MPI-ESM1-2-XR,1,1,hist-1950,0,0,0,control-1950|highres-future|hist-1950
3,NorCPM1,1,1,historical,0,0,0,1pctCO2|abrupt-4xCO2|dcppA-assim|dcppA-hindcast|historical|historical-ext|piControl
3,SAM0-UNICON,1,1,historical,0,0,0,1pctCO2|abrupt-4xCO2|historical|piControl
3,UKESM1-1-LL,1,1,historical,0,1,0,1pctCO2|abrupt-4xCO2|historical|piControl|ssp126|ssp370
5,CIESM,1,1,historical,1,0,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp126|ssp245|ssp585
5,EC-Earth3-CC,1,1,historical,1,0,1,1pctCO2|1pctCO2-bgc|1pctCO2-rad|abrupt-4xCO2|dcppA-hindcast|dcppB-forecast|esm-hist|esm-piControl|esm-ssp585|historical|piControl|ssp245|ssp585
5,FIO-ESM-2-0,1,1,historical,1,0,1,1pctCO2|abrupt-4xCO2|hist-resAMO|hist-resIPO|historical|omip1|piControl|ssp126|ssp245|ssp585
5,GFDL-CM4,1,1,historical,1,0,1,1pctCO2|abrupt-4xCO2|hist-nat|historical|omip1|omip2|piControl|ssp245|ssp585
5,GISS-E2-1-G-CC,1,1,historical,1,0,1,esm-1pct-brch-1000PgC|esm-1pctCO2|esm-hist|esm-piControl|esm-sp585|esm-sp585-bgc|esm-ssp585|historical|piControl|ssp126|ssp245|ssp460|ssp585|ssp585-bgc
5,HadGEM3-GC31-LL,1,1,hist-1950+historical,1,0,1,1pctCO2|abrupt-0p5xCO2|abrupt-2xCO2|abrupt-4xCO2|abrupt-solp4p|control-1950|faf-all|faf-heat|faf-heat-NA0pct|faf-heat-NA50pct|faf-passiveheat|faf-stress|faf-water|highres-future|hist-1950|hist-GHG|hist-aer|hist-nat|historical|lig127k|midHolocene|midPliocene-eoi400|piControl|spinup-1950|ssp126|ssp245|ssp245-GHG|ssp585
5,KIOST-ESM,1,1,historical,1,0,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp126|ssp245|ssp585
5,NESM3,1,1,historical,1,0,1,1pctCO2|abrupt-4xCO2|historical|lig127k|midHolocene|piControl|ssp126|ssp245|ssp585
